Type,Square,Floor,Metro,Price
1.0,39.34,13,0.0,5534317.0
1.0,39.84,17,0.0,5584690.0
1.0,36.95,15,0.0,5274630.0
3.0,77.66,10,0.0,10451400.0
2.0,59.08,14,0.0,8191813.0
3.0,78.0,4,0.0,10499827.0
2.0,60.96,4,0.0,8344827.0
1.0,39.84,11,0.0,5584690.0
1.0,39.84,5,0.0,5584690.0
2.0,60.09,15,0.0,8291822.0
2.0,61.09,10,0.0,8344827.0
2.0,60.96,10,0.0,8344827.0
1.0,37.5,3,0.0,5380041.0
1.0,39.34,10,0.0,5534317.0
1.0,38.35,15,0.0,5436522.0
1.0,39.34,8,0.0,5534317.0
2.0,60.96,10,0.0,8344827.0
2.0,59.08,5,0.0,8191813.0
3.0,78.0,4,0.0,10530711.0
1.0,39.34,7,0.0,5534317.0
2.0,59.08,14,0.0,8215318.0
3.0,78.0,10,0.0,10499827.0
2.0,60.09,6,0.0,8291822.0
1.0,39.34,14,0.0,5534317.0
1.0,39.34,13,0.0,5534317.0
1.0,39.34,16,0.0,5534317.0
1.0,37.5,3,0.0,5473105.0
1.0,39.84,14,0.0,5584690.0
1.0,39.84,5,0.0,5584690.0
1.0,36.95,14,0.0,5274630.0
1.0,39.34,13,0.0,5534317.0
2.0,60.96,11,0.0,8344827.0
2.0,60.09,10,0.0,8291822.0
,36.95,13,0.0,5281705.0
1.0,37.37,10,0.0,5357032.0
1.0,36.95,17,0.0,5274630.0
2.0,56.96,11,0.0,7953242.0
1.0,36.95,15,0.0,5274630.0
3.0,77.66,11,0.0,10451400.0
1.0,37.24,8,0.0,5287122.0
3.0,78.0,11,0.0,10530711.0
1.0,37.37,8,0.0,5385850.0
1.0,36.74,8,0.0,5239490.0
1.0,37.24,11,0.0,5287122.0
1.0,36.95,13,0.0,5274630.0
3.0,77.66,12,0.0,10451400.0
1.0,37.5,4,0.0,5357032.0
1.0,37.37,4,0.0,5385850.0
2.0,56.96,17,0.0,7953242.0
